Month,Hyundai,Renault,Tata,Toyota,Industry_Total,Renault_share_pct,Tata_share_pct,Toyota_share_pct,Hyundai_share_pct
2018-08-01,45801,6557,18420,14136,282809,2.3185259309286477,6.513229776987295,4.998426499863866,16.19502915395196
2018-09-01,47781,6434,18429,12512,288805,2.227800765222209,6.381122210488045,4.332334966499888,16.54438115683593
2018-10-01,52001,7066,18290,12606,281366,2.5113197756658585,6.500430044852612,4.480285464483981,18.4816218022078
2018-11-01,43709,6134,16982,10721,263555,2.3274079414164026,6.4434368537876345,4.06784162698488,16.584394149228814
2018-12-01,42093,7263,14260,11836,235981,3.0777901610722895,6.042859382746916,5.015658040265953,17.837453015285128
2019-01-01,45803,5825,17826,11221,276983,2.10301715267724,6.43577403667373,4.0511511536809115,16.536393930313412
2019-02-01,43110,6241,18110,11760,268843,2.321429235650547,6.736273587186574,4.374300242148763,16.035381244815746
2019-03-01,44350,7127,17810,12818,287166,2.481839772117869,6.201987700493791,4.463620345026918,15.444028889213904
2019-04-01,42005,6256,12695,10112,245547,2.5477810765352458,5.170089636607248,4.118152532916305,17.10670462274025
2019-05-01,42502,5949,10900,12138,236533,2.5150824620666037,4.608236482858628,5.131630681553948,17.96874009123463
2019-06-01,42007,5400,13351,10603,221610,2.436713144713686,6.024547628717116,4.784531383962817,18.95537204999774
2019-07-01,39010,3660,10485,10422,199533,1.8342830509239072,5.254769887687751,5.2231961630407,19.55065076954689
2019-08-01,38205,5704,7316,10701,195800,2.91317671092952,3.7364657814096014,5.4652706843718075,19.512257405515832
2019-09-01,40705,8345,8097,10203,222809,3.7453603759273637,3.6340542796745194,4.5792584680152055,18.26901067730657
2019-10-01,50010,11516,13169,11866,284048,4.054244353067087,4.636188249873261,4.177462964006083,17.606179237312002
2019-11-01,44600,10882,10400,8312,262958,4.13830345530465,3.9550042212064285,3.160961066025753,16.960883487096797
2019-12-01,37953,11964,12785,6544,234805,5.095291837908052,5.444943676667873,2.7869934626605053,16.16362513575094
2020-01-01,42002,7805,13856,5804,261768,2.9816478713975734,5.2932367592677485,2.217230524739464,16.04550594419486
